price,region,locality,type,bedrooms,bathrooms,area,rooms
795000,Sliema and St Julians Surroundings,San Gwann,Villa Semi-detached,4,2,256,9
310000,Sliema and St Julians Surroundings,Gzira,Apartment,3,2,132,6
465000,Sliema and St Julians Surroundings,San Gwann,Penthouse,3,2,180,7
420000,Sliema and St Julians Surroundings,San Gwann,Penthouse,3,2,164,7
367000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,3,169,8
346000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,3,169,8
335000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,3,169,8
378000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,3,186,8
362000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,3,186,8
350000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,3,186,8
234000,Central,Santa Venera,Apartment,3,2,137,8
157000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,65,4
145000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,52,4
154000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,65,4
367000,Sliema and St Julians Surroundings,San Gwann,Maisonette,3,3,209,8
142000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,52,4
148000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,52,4
151000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,65,4
139000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,52,4
397000,Sliema and St Julians Surroundings,San Gwann,Maisonette,3,3,189,8
148000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,113,4
136000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,52,4
139000,Sliema and St Julians Surroundings,Msida,Apartment,2,1,67,4
240000,Sliema and St Julians Surroundings,Gzira,Penthouse,1,1,95,4
245000,Sliema and St Julians Surroundings,Gzira,Apartment,2,2,103,5
245000,Sliema and St Julians Surroundings,Gzira,Apartment,2,2,103,5
240000,Sliema and St Julians Surroundings,Gzira,Apartment,2,2,103,5
240000,Sliema and St Julians Surroundings,Gzira,Apartment,2,2,103,5
1300000,Sliema and St Julians Surroundings,Kappara,Villa Detached,4,4,585,10
199000,Central,Hamrun,Apartment,3,2,136,7
295000,Central,Mosta,Apartment,3,2,131,7
320000,Sliema and St Julians Surroundings,Sliema,Townhouse,3,2,175,8
460000,Central,Zebbug,House of Character,4,1,287,9
650000,Central,Zebbug,Penthouse,3,2,285,6
2450000,Sliema and St Julians Surroundings,Ta' Xbiex,Villa Detached,3,3,540,10
319000,North,Mgarr,Apartment,3,2,156,7
330000,North,Bahrija,Maisonette,3,2,140,7
245000,Central,Birkirkara,Apartment,3,2,139,6
535000,Sliema and St Julians Surroundings,Sliema,Penthouse,2,1,90,4
2600000,South,Zejtun,Farmhouse,4,3,2590,12
225000,South,Marsaxlokk,Apartment,3,1,94,6
1900000,Sliema and St Julians Surroundings,Ta' l-Ibragg,Villa Semi-detached,3,6,620,19
176000,North,Bugibba,Apartment,2,1,76,5
650000,Sliema and St Julians Surroundings,Sliema,Apartment,3,2,130,10
1600000,Sliema and St Julians Surroundings,Sliema,Apartment,3,3,214,9
245000,South,Tarxien,Apartment,2,1,118,6
425000,North,Rabat,Townhouse,3,2,180,7
585000,Central,Mosta,Penthouse,3,3,249,8
235000,Sliema and St Julians Surroundings,Msida,Apartment,3,2,80,6
580000,Sliema and St Julians Surroundings,Ta' l-Ibragg,Maisonette,3,2,288,7
350000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,2,118,6
638000,Central,Zebbug,Maisonette Solitary Duplex,4,1,300,8
599000,North,Mellieha,Apartment,3,4,226,9
955000,South,Birzebbuga,Terraced House,2,3,209,9
480000,Central,Zebbug,House of Character,3,3,158,9
276500,Central,Birkirkara,Apartment,3,2,120,6
191500,Central,Zebbug,Apartment,2,2,100,5
191500,Central,Zebbug,Apartment,2,2,100,5
580000,North,Xemxija,Penthouse,3,2,170,8
750000,Central,Qormi,Terraced House,3,2,489,9
744000,South,Vittoriosa,Terraced House,3,2,340,10
287000,South,Fgura,Maisonette,2,1,196,5
550000,Sliema and St Julians Surroundings,Sliema,Maisonette Duplex,3,3,262,10
175000,South,Tarxien,Apartment,1,1,70,4
328000,Central,Siggiewi,Apartment,3,2,160,6
340000,South,Zabbar,Townhouse,3,2,178,7
1450000,Sliema and St Julians Surroundings,Sliema,Apartment,3,3,220,9
1495000,Sliema and St Julians Surroundings,St Julian's,Apartment,3,4,292,9
250000,South,Fgura,Apartment,3,2,113,7
380000,South,Luqa,Maisonette,3,1,251,8
315000,Sliema and St Julians Surroundings,San Gwann,Apartment,3,2,125,11
295000,South,Marsascala,Penthouse,2,2,102,6
175000,South,Marsascala,Apartment,2,1,61,4
220000,South,Luqa,Apartment,3,2,87,7
3500000,Sliema and St Julians Surroundings,St Julian's,Apartment,3,4,187,9
325000,Central,Mosta,Apartment,3,1,137,7
595000,Sliema and St Julians Surroundings,Sliema,Maisonette,4,2,240,11
178000,North,Bugibba,Apartment,2,1,65,4
1275000,Central,Zebbug,House of Character,3,3,711,10
689000,Sliema and St Julians Surroundings,Bahar Ic-Caghaq,Apartment,3,4,212,11
280000,Sliema and St Julians Surroundings,Gzira,Apartment,2,2,79,5
638000,South,Mqabba,Townhouse,3,2,167,10
282000,Sliema and St Julians Surroundings,Msida,Apartment,3,2,140,8
260000,Sliema and St Julians Surroundings,Gzira,Apartment,3,2,118,7
560000,Sliema and St Julians Surroundings,Swieqi,Apartment,3,2,211,8
850000,North,St Paul's Bay,Apartment,3,1,240,6
688000,North,Dingli,Penthouse,3,2,202,7
439500,North,Dingli,Apartment,3,2,220,8
429000,North,Dingli,Apartment,3,2,220,8
418000,North,Dingli,Apartment,3,2,220,8
476500,North,Dingli,Maisonette,3,2,283,7
698000,Sliema and St Julians Surroundings,Portomaso,Apartment,2,2,98,6
435000,Central,Birguma,Apartment,3,2,149,8
315000,Central,Naxxar,House of Character,3,2,109,8
298000,Sliema and St Julians Surroundings,Gzira,Apartment,3,3,110,7
255000,North,Mgarr,Apartment,3,2,127,7
735000,South,Vittoriosa,Apartment,3,1,178,5
239000,Sliema and St Julians Surroundings,Msida,Apartment,1,1,96,4
392000,Central,Naxxar,Apartment,3,2,124,7
695000,Sliema and St Julians Surroundings,Swieqi,Penthouse,3,2,156,7
570000,Sliema and St Julians Surroundings,Gzira,Penthouse,3,2,175,8
850000,Central,Floriana,Block Of Apartments,4,4,250,10
535000,North,Rabat,Townhouse,3,1,132,8
795000,Sliema and St Julians Surroundings,Ta' Xbiex,Apartment,3,3,235,8
475000,Sliema and St Julians Surroundings,Sliema,Townhouse,2,2,230,6
210000,Central,Hamrun,Apartment,3,1,86,5
352000,South,Tarxien,Townhouse,2,2,144,8
228000,South,Zejtun,Maisonette,2,2,110,7
299000,Central,Naxxar,Apartment,3,2,122,8
1900000,Central,Zebbug,House of Character,3,1,550,9
1380000,Central,Lija,Townhouse,3,3,780,12
299000,South,Mqabba,Penthouse,2,1,140,6
450000,Sliema and St Julians Surroundings,Sliema,Apartment,2,2,133,7
495000,Central,Gharghur,Maisonette,4,2,180,7
329000,South,Zabbar,Apartment,3,2,195,10
380000,Central,Mosta,Apartment,3,3,155,7
530000,Sliema and St Julians Surroundings,Guardamangia,Apartment,3,2,180,12
239000,Central,Qormi,Maisonette,2,1,160,6
495000,Central,Balzan,Penthouse,2,2,172,7
380000,North,Qawra,Apartment,3,2,284,11
375000,North,Salina,Apartment,3,2,142,6
310000,Central,Naxxar,Apartment,3,2,140,8
320000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,2,90,5
275000,Central,Birkirkara,Apartment,3,1,111,5
385000,Central,Balzan,Penthouse,3,2,153,6
285000,Central,Balzan,Maisonette,2,2,162,5
319000,Central,Naxxar,Apartment,3,2,140,8
197000,North,Mellieha,Garage (Residential),0,0,104,0
200000,North,Bugibba,Maisonette,2,1,127,5
390000,Valletta,Valletta,Apartment,2,1,106,5
245000,Central,Birkirkara,Garage (Residential),0,0,101,0
1599000,South,Ghaxaq,Villa Semi-detached,8,3,568,15
250000,Sliema and St Julians Surroundings,Pieta,Apartment,3,1,86,5
340000,Sliema and St Julians Surroundings,Swatar,Apartment,3,2,130,6
375000,Sliema and St Julians Surroundings,San Gwann,Maisonette Duplex,3,2,162,10
555000,Central,Gharghur,Townhouse,2,1,150,7
356000,Central,Mosta,Apartment,3,2,155,7
340000,Central,Mosta,Apartment,3,2,145,7
340000,Central,Mosta,Apartment,3,2,155,7
325000,Central,Mosta,Apartment,3,2,145,7
330000,Central,Mosta,Apartment,3,2,155,7
315000,Central,Mosta,Apartment,3,2,145,7
340000,Central,Mosta,Apartment,3,2,147,8
350000,Central,Mosta,Apartment,3,2,150,8
325000,Central,Mosta,Apartment,3,2,147,8
335000,Central,Mosta,Apartment,3,2,150,8
315000,Central,Mosta,Apartment,3,2,147,8
325000,Central,Mosta,Apartment,3,2,150,8
360000,Central,Mosta,Apartment,3,2,166,7
340000,Central,Mosta,Apartment,3,2,161,7
340000,Central,Mosta,Apartment,3,2,165,8
475000,Sliema and St Julians Surroundings,St Julian's,Apartment,3,2,190,8
200000,South,Zabbar,Garage (Residential),0,0,85,0
380000,Central,Hamrun,Townhouse,3,2,181,8
186000,Central,Birkirkara,Garage (Residential),0,0,220,0
485000,North,Rabat,Maisonette,3,1,190,7
345000,Central,Mosta,Apartment,3,2,169,8
378000,Sliema and St Julians Surroundings,St Julian's,Apartment,3,1,140,7
350000,North,Qawra,Maisonette,3,1,105,5
650000,Central,Iklin,Maisonette Solitary,3,2,210,8
995000,Sliema and St Julians Surroundings,St Julian's,Villa Semi-detached,2,4,435,17
340000,South,Marsa,Townhouse,3,2,240,8
197000,Central,Mosta,Apartment,1,2,60,5
250000,Central,Attard,Apartment,2,2,100,7
395000,Sliema and St Julians Surroundings,Sliema,Apartment,3,2,158,7
525000,South,Marsascala,Apartment,3,2,164,6
450000,South,Marsascala,Apartment,3,2,164,6
575000,South,Marsascala,Apartment,3,2,164,7
495000,South,Marsascala,Apartment,3,2,164,7
235000,South,Birzebbuga,Apartment,3,2,139,6
699000,South,Marsascala,Terraced House,3,2,150,8
215000,South,Birzebbuga,Apartment,3,2,139,6
290000,North,Qawra,Apartment,3,2,125,6
2500000,Sliema and St Julians Surroundings,Sliema,Apartment,3,4,290,8
2750000,Central,Balzan,Townhouse,4,4,1200,18
270000,Central,Qormi,House of Character,3,0,160,4
315000,Sliema and St Julians Surroundings,Sliema,Penthouse,1,1,100,3
319000,Central,Birkirkara,Garage (Residential),0,0,120,0
266000,Central,Birkirkara,Penthouse,2,2,120,5
266000,Central,Birkirkara,Apartment,3,2,130,6
266000,Central,Birkirkara,Apartment,3,2,130,6
266000,Central,Birkirkara,Apartment,3,2,140,6
356000,Central,Qormi,Apartment,3,1,140,5
192000,South,Fgura,Apartment,3,1,189,6
372000,Central,Qormi,Maisonette,2,2,210,8
288000,South,Luqa,Penthouse Duplex,3,3,160,9
225000,South,Zabbar,Apartment,3,2,114,7
277000,Sliema and St Julians Surroundings,Sliema,Apartment,2,1,81,4
1120000,Sliema and St Julians Surroundings,Fort Cambridge,Penthouse,2,2,151,5
195000,Sliema and St Julians Surroundings,St Julian's,Maisonette,2,2,65,6
155000,Sliema and St Julians Surroundings,Msida,Apartment,1,1,56,3
585000,North,Rabat,Terraced House,3,2,328,10
270000,North,Mellieha,Apartment,3,2,90,6
1900000,Sliema and St Julians Surroundings,Fort Cambridge,Apartment,3,3,325,9
276500,Central,Qormi,Maisonette,2,1,211,5
315000,North,Mtarfa,Maisonette,3,2,172,7
239000,Sliema and St Julians Surroundings,Gzira,Apartment,3,2,118,6
585000,Valletta,Valletta,House of Character,3,2,225,7
475000,Central,Attard,Penthouse Duplex,3,3,218,8
198000,North,St Paul's Bay,Apartment,2,1,65,5
260000,South,Marsascala,Maisonette,2,2,127,6
545000,South,Marsascala,Penthouse Duplex,4,2,260,7
1850000,Central,Balzan,Townhouse,3,5,400,11
399000,South,Zabbar,Townhouse,3,3,185,7
470000,North,St Paul's Bay,Townhouse,3,3,235,9
200000,Sliema and St Julians Surroundings,Msida,Penthouse,1,1,80,4
245000,North,Dingli,Apartment,2,1,94,5
212600,Central,Hamrun,Townhouse,2,1,81,6
700000,Central,Zebbug,Townhouse,3,2,295,7
1375000,Sliema and St Julians Surroundings,Sliema,Apartment,3,3,175,10
1050000,Central,Attard,Villa Semi-detached,3,3,283,10
297000,South,Ghaxaq,Apartment,3,2,134,7
510000,Central,Balzan,Maisonette,3,2,201,7
325000,Central,Balzan,Apartment,3,2,133,7
670000,South,Marsascala,Penthouse Duplex,3,2,160,7
350000,Central,Naxxar,Apartment,3,2,158,6
420000,South,Kalkara,Penthouse,2,2,135,6
395000,Sliema and St Julians Surroundings,Gzira,Penthouse,2,2,130,6
691000,South,Fgura,Terraced House,5,2,200,10
299000,South,Cospicua,Townhouse,2,3,150,11
340000,Central,Birkirkara,Maisonette,3,2,138,8
300000,Central,Birkirkara,Penthouse,2,1,108,4
176000,Central,Hamrun,Apartment,3,2,135,6
225000,Central,Santa Venera,Penthouse,2,1,105,4
220000,Central,Santa Venera,Apartment,2,2,100,5
220000,Central,Santa Venera,Apartment,2,2,100,5
199000,Central,Santa Venera,Apartment,3,2,131,7
475000,Central,Mosta,Maisonette,3,2,145,8
800000,Central,Fleur De Lys,Terraced House,3,0,276,8
314000,Central,Birkirkara,Apartment,3,2,157,8
129000,Central,Hamrun,Apartment,1,1,57,4
438000,Central,Mosta,Maisonette,3,2,160,8
235000,Central,Zebbug,Maisonette,2,1,125,7
398500,Central,Attard,Apartment,3,2,180,8
260000,South,Birzebbuga,Apartment,2,1,112,4
506000,Central,Mosta,Penthouse,3,2,211,8
197000,North,Bugibba,Apartment,2,2,66,5
298000,South,Zabbar,Apartment,2,2,134,6
950000,Valletta,Valletta,Apartment,2,2,125,8
200000,Sliema and St Julians Surroundings,Swatar,Maisonette,2,1,74,5
1950000,Sliema and St Julians Surroundings,St Julian's,Apartment,4,4,340,9
1800000,Sliema and St Julians Surroundings,Sliema,Apartment,5,3,405,13
450000,Sliema and St Julians Surroundings,St Julian's,Maisonette Duplex,2,3,1,10
398000,Sliema and St Julians Surroundings,Sliema,Townhouse,3,2,101,8
379000,North,Qawra,Penthouse,3,3,190,8
285000,Central,Birkirkara,Apartment,4,1,163,7
260000,Central,Attard,Apartment,2,2,105,5
260000,Central,Attard,Apartment,2,2,105,5
260000,Central,Attard,Apartment,2,2,105,5
330000,Central,Attard,Apartment,3,2,136,6
330000,Central,Attard,Apartment,3,2,136,6
330000,Central,Attard,Apartment,3,2,136,6
750000,Sliema and St Julians Surroundings,Sliema,Townhouse,3,3,275,10
425500,South,Cospicua,Townhouse,3,2,194,10
1200000,Sliema and St Julians Surroundings,Sliema,Apartment,3,2,256,9
260000,Sliema and St Julians Surroundings,St Julian's,Penthouse,1,1,83,4
210000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,0,83,4
225000,Sliema and St Julians Surroundings,St Julian's,Penthouse,1,1,83,4
320000,North,Rabat,Maisonette,3,2,110,6
1790000,Central,Birguma,Villa Detached,3,3,564,9
285000,Central,Birkirkara,Maisonette,3,1,255,7
450000,Sliema and St Julians Surroundings,Msida,Townhouse,2,2,105,7
218000,Sliema and St Julians Surroundings,Msida,Apartment,2,2,98,6
303000,South,Marsascala,Apartment,3,1,155,5
319000,Central,Qormi,Apartment,3,2,143,7
225000,Sliema and St Julians Surroundings,St Julian's,Apartment,1,1,83,4
205000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,1,83,5
372000,Central,Siggiewi,Apartment,3,2,198,8
195000,North,St Paul's Bay,Apartment,3,2,100,6
599000,North,Mellieha,Apartment,3,0,209,4
265000,North,Bugibba,Apartment,2,2,89,5
1500000,Sliema and St Julians Surroundings,Ta' Xbiex,Apartment,3,3,285,8
235000,Central,Qormi,Apartment,3,1,87,6
699000,South,Birzebbuga,Maisonette Duplex,3,4,287,9
279000,Central,Birkirkara,Apartment,3,2,160,8
695000,South,Marsascala,Penthouse,4,2,305,10
234000,North,Qawra,Apartment,2,2,72,6
279000,Central,Hamrun,Townhouse,2,2,125,7
650000,Central,Naxxar,House of Character,3,0,240,5
350000,Sliema and St Julians Surroundings,Swieqi,Apartment,3,2,100,7
695000,Central,Birkirkara,Terraced House,4,1,360,9
745000,Central,Mosta,Terraced House,3,3,200,9
850000,Sliema and St Julians Surroundings,Sliema,Apartment,3,4,198,9
850000,Sliema and St Julians Surroundings,Sliema,Maisonette,3,4,313,9
850000,Sliema and St Julians Surroundings,Sliema,Maisonette,3,3,295,8
375000,Sliema and St Julians Surroundings,Sliema,Townhouse,3,1,97,6
640000,South,Marsascala,Terraced House,4,4,370,12
388000,Central,Santa Venera,Maisonette Solitary,3,1,163,8
260000,North,St Paul's Bay,Apartment,3,2,8,7
11000000,North,Santa Maria Estate,Villa Detached,3,3,3450,8
275000,Sliema and St Julians Surroundings,Gzira,Apartment,2,2,140,6
3000000,North,Santa Maria Estate,Bungalow Detached,4,3,1900,11
3500000,Central,San Pawl tat Targa,Bungalow Detached,0,0,1350,4
293000,Sliema and St Julians Surroundings,Pieta,Apartment,3,2,158,6
393500,Central,Hamrun,Penthouse,3,2,139,6
155000,Sliema and St Julians Surroundings,Pieta,Apartment,1,1,60,3
185000,Central,Naxxar,Apartment,2,2,132,5
245000,Central,Birkirkara,Maisonette,3,1,165,7
420000,North,Qawra,Apartment,2,1,150,6
215000,Central,Hamrun,Apartment,2,1,94,4
370000,Central,Qormi,Maisonette Duplex,3,3,248,9
1400000,Central,San Pawl tat Targa,Bungalow Semi-detached,3,3,486,10
2500000,North,Santa Maria Estate,Bungalow Detached,3,4,1011,13
1200000,Central,Iklin,Villa Semi-detached,4,3,465,10
227000,South,Fgura,Apartment,3,2,99,6
425000,South,Zejtun,Airspace (Residential),0,0,490,0
457000,South,Zejtun,Maisonette Duplex,3,2,125,7
490000,Sliema and St Julians Surroundings,Pieta,Apartment,3,1,170,5
305000,South,Fgura,Terraced House,3,2,124,8
240000,North,Mellieha,Apartment,2,1,116,5
290000,Sliema and St Julians Surroundings,Gzira,Penthouse,2,1,95,5
395000,Central,Qormi,Townhouse,3,1,246,8
460000,Sliema and St Julians Surroundings,Portomaso,Apartment,1,1,83,3
449000,Sliema and St Julians Surroundings,St Julian's,Apartment,2,2,132,7
175500,South,Cospicua,Townhouse,2,1,92,6
202000,South,Cospicua,Maisonette,2,1,71,4
725000,Central,Birkirkara,House of Character,3,3,315,8
420000,Central,Zebbug,Maisonette Duplex,3,2,249,9
305000,South,Zabbar,Maisonette,2,2,120,7
350000,Central,Qormi,Penthouse,2,1,110,4
